LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,Distance
R. Westbrook - N. Jokić - M. Porter Jr. - J. Strawther - C. Braun,DEN,15,56,137.6,92.7,44.9,77.8,5.44,24.9,41.1,71.0,56.8,0.1,60.2,63.4,107.21,71.3,29.59841164338567
J. Harden - N. Powell - K. Dunn - I. Zubac - A. Coffey,LAC,14,57,135.8,94.3,41.6,59.3,1.94,20.8,28.3,68.9,51.4,0.1,68.9,71.5,101.08,66.1,27.215183780778805
J. Harden - K. Leonard - N. Powell - I. Zubac - D. Jones Jr.,LAC,9,116,133.3,94.8,38.5,61.7,2.93,22.6,30.8,80.5,57.7,0.1,63.1,65.7,103.37,68.5,24.864018849529753
C. LeVert - G. Niang - D. Mitchell - S. Merrill - E. Mobley,CLE,16,80,119.5,81.8,37.8,66.7,2.19,20.0,20.3,70.8,48.0,0.1,62.1,63.9,102.06,68.4,28.09014239936204
J. Jackson Jr. - J. Morant - D. Bane - Z. Edey - J. Wells,MEM,12,111,134.1,96.8,37.3,54.2,2.17,18.5,35.2,75.6,56.7,0.1,60.4,65.2,108.3,68.6,24.455924719024438
S. Gilgeous-Alexander - L. Dort - I. Joe - J. Williams - C. Wallace,OKC,13,58,118.9,85.4,33.5,48.1,2.36,15.7,22.6,73.6,50.0,0.1,55.3,59.4,106.68,67.3,24.450545534599296
K. Caldwell-Pope - W. Carter Jr. - G. Bitadze - F. Wagner - J. Suggs,ORL,5,75,129.3,97.3,31.9,65.7,1.7,21.8,34.0,80.3,59.7,0.2,65.6,69.1,94.72,68.8,20.15590382470596
F. VanVleet - D. Brooks - A. Sengun - J. Smith Jr. - A. Thompson,HOU,13,57,116.9,86.4,30.5,76.5,3.25,22.4,20.8,71.4,48.3,0.1,60.4,63.5,105.24,70.0,23.05830842008849
M. Conley - R. Gobert - D. DiVincenzo - N. Alexander-Walker - N. Reid,MIN,21,94,117.2,89.2,28.0,78.2,2.35,21.9,29.2,71.6,52.5,0.1,59.1,61.7,99.03,67.5,20.36488487357276
K. Durant - M. Plumlee - T. Jones - D. Booker - R. Dunn,PHX,13,87,115.3,87.5,27.8,74.1,2.86,22.4,27.5,67.6,49.5,0.1,53.8,56.5,100.81,68.1,21.74643967361037
J. Poeltl - R. Barrett - O. Agbaji - D. Mitchell - S. Barnes,TOR,10,55,110.0,84.2,25.8,72.0,2.12,21.4,25.0,79.7,56.3,0.1,58.9,61.8,102.36,69.3,25.098734721730917
M. Conley - R. Gobert - N. Reid - A. Edwards - J. McDaniels,MIN,20,55,113.2,87.4,25.8,76.7,2.2,20.4,27.8,75.5,51.4,0.1,55.4,60.5,98.38,66.8,21.722960144794584
R. Gobert - D. DiVincenzo - N. Alexander-Walker - N. Reid - A. Edwards,MIN,31,89,98.0,87.8,10.2,65.3,1.34,17.7,16.9,80.9,50.8,0.2,58.9,61.0,107.57,55.7,26.05512543732803
T. Harris - T. Hardaway Jr. - M. Beasley - I. Stewart - C. Cunningham,DET,23,61,100.0,91.7,8.3,52.9,1.08,15.1,16.1,79.1,50.4,0.2,57.6,61.4,108.86,53.6,21.722558816928036
M. Bridges - G. Williams - L. Ball - J. Green - B. Miller,CHA,6,60,127.6,133.6,-6.0,80.0,2.44,24.4,18.0,77.3,45.7,0.1,68.6,71.5,101.05,46.9,28.514437593936293
J. Valančiūnas - K. Kuzma - C. Kispert - B. Carrington - K. George,WAS,14,91,106.7,131.1,-24.3,67.1,1.4,18.5,27.9,69.7,49.1,0.2,57.1,60.4,100.74,38.4,22.856446041706956
B. Beal - M. Plumlee - T. Jones - D. Booker - R. O'Neale,PHX,5,54,110.7,136.4,-25.7,71.4,2.14,19.7,19.2,68.0,43.1,0.1,56.5,60.2,98.06,42.4,27.372908139553545
J. Grant - A. Simons - D. Ayton - S. Sharpe - T. Camara,POR,10,126,93.7,123.6,-29.9,58.8,1.16,15.9,24.6,77.7,48.4,0.2,47.4,50.6,102.0,35.8,24.10692947545134
K. Kuzma - J. Poole - B. Coulibaly - A. Sarr - B. Carrington,WAS,17,208,86.7,120.3,-33.5,63.6,1.43,15.7,18.5,73.0,42.6,0.1,44.4,46.4,108.15,31.5,28.55394709822498
