LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,Distance
R. Westbrook - N. Jokić - M. Porter Jr. - J. Strawther - C. Braun,DEN,15,56,137.6,92.7,44.9,77.8,5.44,24.9,41.1,71.0,56.8,0.1,60.2,63.4,107.21,71.3,29.59841164338567
J. Harden - N. Powell - K. Dunn - I. Zubac - A. Coffey,LAC,14,57,135.8,94.3,41.6,59.3,1.94,20.8,28.3,68.9,51.4,0.1,68.9,71.5,101.08,66.1,27.215183780778805
J. Harden - K. Leonard - N. Powell - I. Zubac - D. Jones Jr.,LAC,9,116,133.3,94.8,38.5,61.7,2.93,22.6,30.8,80.5,57.7,0.1,63.1,65.7,103.37,68.5,24.864018849529753
C. LeVert - G. Niang - D. Mitchell - S. Merrill - E. Mobley,CLE,16,80,119.5,81.8,37.8,66.7,2.19,20.0,20.3,70.8,48.0,0.1,62.1,63.9,102.06,68.4,28.09014239936204
J. Jackson Jr. - J. Morant - D. Bane - Z. Edey - J. Wells,MEM,12,111,134.1,96.8,37.3,54.2,2.17,18.5,35.2,75.6,56.7,0.1,60.4,65.2,108.3,68.6,24.455924719024438
S. Gilgeous-Alexander - L. Dort - I. Joe - J. Williams - C. Wallace,OKC,13,58,118.9,85.4,33.5,48.1,2.36,15.7,22.6,73.6,50.0,0.1,55.3,59.4,106.68,67.3,24.450545534599296
K. Caldwell-Pope - W. Carter Jr. - G. Bitadze - F. Wagner - J. Suggs,ORL,5,75,129.3,97.3,31.9,65.7,1.7,21.8,34.0,80.3,59.7,0.2,65.6,69.1,94.72,68.8,20.15590382470596
K. Durant - J. Nurkić - T. Jones - D. Booker - R. O'Neale,PHX,11,74,122.3,91.8,30.5,65.3,2.61,22.1,14.5,81.0,52.7,0.1,65.9,68.0,102.03,63.3,19.6723207217791
F. VanVleet - D. Brooks - A. Sengun - J. Smith Jr. - A. Thompson,HOU,13,57,116.9,86.4,30.5,76.5,3.25,22.4,20.8,71.4,48.3,0.1,60.4,63.5,105.24,70.0,23.05830842008849
K. Towns - C. Payne - J. Hart - M. Bridges - M. McBride,NYK,12,65,127.8,98.6,29.1,67.7,2.44,21.4,30.0,71.6,52.0,0.1,63.4,67.3,106.64,60.7,18.179350712391493
K. Towns - O. Anunoby - J. Hart - J. Brunson - M. McBride,NYK,17,60,129.8,100.8,29.0,66.1,3.25,22.4,22.0,78.2,51.4,0.1,62.1,66.2,96.07,65.9,18.770532621325163
M. Conley - R. Gobert - D. DiVincenzo - N. Alexander-Walker - N. Reid,MIN,21,94,117.2,89.2,28.0,78.2,2.35,21.9,29.2,71.6,52.5,0.1,59.1,61.7,99.03,67.5,20.36488487357276
K. Durant - M. Plumlee - T. Jones - D. Booker - R. Dunn,PHX,13,87,115.3,87.5,27.8,74.1,2.86,22.4,27.5,67.6,49.5,0.1,53.8,56.5,100.81,68.1,21.74643967361037
B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - A. Green,MIL,17,74,115.6,89.4,26.3,50.0,1.7,16.3,21.1,79.3,54.0,0.1,59.2,61.2,103.67,64.3,19.89572360999103
K. Middleton - G. Antetokounmpo - B. Portis - G. Trent Jr. - A. Green,MIL,9,57,128.5,102.5,26.0,63.2,3.6,20.7,31.5,76.2,55.6,0.1,61.0,65.4,101.88,63.1,16.87820465346149
J. Poeltl - R. Barrett - O. Agbaji - D. Mitchell - S. Barnes,TOR,10,55,110.0,84.2,25.8,72.0,2.12,21.4,25.0,79.7,56.3,0.1,58.9,61.8,102.36,69.3,25.098734721730917
M. Conley - R. Gobert - N. Reid - A. Edwards - J. McDaniels,MIN,20,55,113.2,87.4,25.8,76.7,2.2,20.4,27.8,75.5,51.4,0.1,55.4,60.5,98.38,66.8,21.722960144794584
P. George - K. Oubre Jr. - G. Yabusele - C. Martin - T. Maxey,PHI,7,72,128.7,103.9,24.7,46.5,2.36,15.7,31.8,71.2,50.0,0.1,57.5,59.3,100.5,56.0,16.56933211336845
R. Westbrook - A. Gordon - N. Jokić - M. Porter Jr. - C. Braun,DEN,18,115,129.4,104.8,24.6,74.0,2.22,23.6,39.2,69.0,55.7,0.2,65.5,67.1,105.93,61.1,16.984067119329012
O. Anunoby - M. Bridges - J. Brunson - M. McBride - J. Sims,NYK,16,67,118.2,94.5,23.7,53.4,1.63,16.0,29.4,69.2,50.7,0.1,57.6,61.3,102.57,59.2,15.527314973067528
K. Irving - K. Thompson - P. Washington - L. Dončić - D. Lively II,DAL,14,119,127.9,104.4,23.5,58.2,2.45,19.5,36.1,69.4,53.1,0.1,60.4,62.2,100.88,59.6,15.654103992605538
D. DeRozan - D. Sabonis - D. Fox - K. Murray - K. Ellis,SAC,16,80,130.2,109.8,20.4,59.5,2.94,20.1,37.7,73.0,55.0,0.1,60.2,62.3,97.01,56.2,17.238346417099393
R. Westbrook - A. Gordon - N. Jokić - J. Murray - M. Porter Jr.,DEN,13,82,130.6,112.5,18.1,63.4,3.11,21.8,42.7,78.3,61.4,0.1,61.6,64.1,104.36,60.3,17.94583224284211
D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Ellis,SAC,12,69,130.4,113.1,17.3,54.2,2.44,19.5,21.3,66.7,45.9,0.1,62.3,65.8,104.09,56.3,17.873352820388174
N. Jokić - J. Murray - M. Porter Jr. - C. Braun - P. Watson,DEN,12,156,128.6,115.5,13.1,73.4,3.14,24.4,33.3,71.6,54.2,0.1,62.6,64.6,97.54,56.2,16.87667401052299
J. Holiday - J. Brown - J. Tatum - D. White - L. Kornet,BOS,9,64,102.8,92.1,10.8,61.8,1.42,17.0,32.9,68.1,49.7,0.2,50.0,52.4,104.25,56.4,19.831089875684153
N. Batum - K. Dunn - I. Zubac - A. Coffey - K. Porter Jr.,LAC,10,54,106.3,95.6,10.7,64.7,1.57,20.4,34.0,81.5,57.9,0.2,56.9,57.2,100.36,56.5,15.079607473502032
R. Gobert - D. DiVincenzo - N. Alexander-Walker - N. Reid - A. Edwards,MIN,31,89,98.0,87.8,10.2,65.3,1.34,17.7,16.9,80.9,50.8,0.2,58.9,61.0,107.57,55.7,26.05512543732803
