Team 1,Player Removed,Player Added,Substituted Minutes,NETRTG Difference,OFFRTG Difference,DEFRTG Difference
POR,D. Ayton,D. Clingan,157,65.2,27.09999999999999,-38.2
HOU,J. Green,T. Eason,173,58.7,13.099999999999994,-45.7
DET,T. Hardaway Jr.,S. Fontecchio,114,49.5,17.89999999999999,-31.59999999999999
LAC,T. Mann,K. Leonard,53,48.4,22.700000000000017,-25.700000000000003
PHX,B. Beal,R. O'Neale,45,47.6,18.39999999999999,-29.10000000000001
UTA,L. Markkanen,S. Mykhailiuk,163,42.8,17.599999999999994,-25.299999999999997
HOU,F. VanVleet,T. Eason,185,42.7,28.09999999999999,-14.700000000000005
POR,D. Ayton,D. Avdija,100,42.099999999999994,29.799999999999997,-12.299999999999995
WAS,K. Kuzma,C. Kispert,181,41.1,26.299999999999997,-14.899999999999991
CLE,E. Mobley,T. Thompson,43,40.400000000000006,27.200000000000003,-13.200000000000005
MIN,J. McDaniels,N. Alexander-Walker,499,40.0,-4.900000000000006,-45.0
DEN,P. Watson,J. Strawther,48,38.8,19.299999999999997,-19.39999999999999
DEN,J. Murray,J. Strawther,190,38.4,11.299999999999995,-27.200000000000003
DEN,C. Braun,J. Murray,64,38.3,11.100000000000009,-27.09999999999999
DEN,C. Braun,P. Watson,206,37.9,3.1000000000000085,-34.900000000000006
LAC,D. Jones Jr.,N. Powell,95,36.8,27.10000000000001,-9.600000000000009
MIA,H. Highsmith,N. Jović,81,36.7,20.700000000000003,-16.0
MIA,J. Butler,J. Jaquez Jr.,58,36.4,12.0,-24.5
HOU,J. Green,J. Smith Jr.,156,36.3,5.0,-31.39999999999999
POR,J. Grant,S. Henderson,139,36.2,17.5,-18.700000000000003
MIA,J. Jaquez Jr.,J. Butler,76,35.8,25.59999999999999,-10.299999999999995
MIA,N. Jović,H. Highsmith,53,35.5,16.89999999999999,-18.799999999999997
PHX,D. Booker,R. Dunn,91,35.0,14.0,-20.90000000000001
CHI,J. Giddey,L. Ball,217,34.8,24.299999999999997,-10.5
MIN,J. Randle,M. Conley,135,34.5,13.299999999999995,-21.200000000000003
MIA,J. Jaquez Jr.,D. Robinson,83,34.3,30.0,-4.200000000000003
TOR,G. Dick,O. Agbaji,71,33.8,4.900000000000006,-29.0
ORL,T. da Silva,W. Carter Jr.,77,33.6,21.10000000000001,-12.700000000000005
LAL,R. Hachimura,D. Finney-Smith,151,32.9,18.09999999999999,-14.799999999999995
PHX,B. Beal,R. Dunn,93,31.6,30.59999999999999,-0.9000000000000057
LAC,D. Jones Jr.,A. Coffey,200,31.5,23.30000000000001,-8.100000000000009
DEN,C. Braun,R. Westbrook,116,31.299999999999997,0.8000000000000114,-30.5
CHI,A. Dosunmu,L. Ball,72,31.2,23.5,-7.700000000000003
POR,D. Ayton,D. Clingan,92,30.9,-6.400000000000006,-37.3
ORL,J. Suggs,A. Black,110,30.8,5.099999999999994,-25.90000000000001
MIN,J. Randle,D. DiVincenzo,498,29.9,11.799999999999995,-18.09999999999999
MIN,J. Randle,N. Reid,473,25.5,1.7999999999999972,-23.69999999999999
HOU,J. Green,A. Thompson,359,23.9,6.5,-17.39999999999999
NYK,M. Bridges,M. McBride,737,23.4,11.400000000000006,-12.0
NYK,M. Bridges,C. Payne,764,20.1,17.299999999999983,-2.799999999999997
SAC,M. Monk,K. Ellis,334,18.799999999999997,15.199999999999989,-3.6000000000000085
SAC,K. Murray,K. Ellis,345,15.7,15.400000000000006,-0.3000000000000113
HOU,J. Smith Jr.,J. Tate,380,13.3,8.299999999999997,-5.0
MIN,M. Conley,N. Alexander-Walker,413,13.2,-1.2000000000000028,-14.399999999999991
SAC,D. Fox,K. Huerter,385,12.7,-5.5,-18.200000000000003
NYK,O. Anunoby,M. McBride,762,10.9,0.5999999999999943,-10.299999999999995
NYK,J. Hart,M. McBride,763,3.5999999999999996,5.299999999999997,1.7000000000000028
HOU,F. VanVleet,A. Thompson,368,3.200000000000001,-6.5,-9.700000000000005
MIN,R. Gobert,N. Reid,473,-0.3,-5.700000000000003,-5.3999999999999915
NYK,J. Brunson,M. McBride,760,-1.1999999999999993,-1.3000000000000114,-0.0999999999999943
NYK,J. Brunson,C. Payne,763,-4.5,1.0,5.5
MIN,M. Conley,D. DiVincenzo,363,-4.6,-1.5,3.1000000000000085
NYK,K. Towns,J. Sims,677,-10.0,-12.800000000000011,-2.799999999999997
NYK,K. Towns,P. Achiuwa,697,-10.7,-11.300000000000011,-0.5999999999999943
HOU,D. Brooks,A. Thompson,342,-11.0,11.0,22.0
HOU,J. Smith Jr.,T. Eason,381,-19.6,1.5999999999999943,21.200000000000003
IND,A. Nembhard,T. McConnell,331,-25.8,1.3000000000000114,27.0
IND,A. Nembhard,J. Walker,321,-26.9,-16.69999999999999,10.099999999999994
BOS,J. Holiday,N. Queta,190,-30.6,-4.599999999999994,26.0
LAC,D. Jones Jr.,K. Leonard,214,-31.4,-16.799999999999997,14.599999999999994
LAL,D. Russell,D. Knecht,68,-31.6,-8.299999999999997,23.299999999999997
ORL,J. Suggs,A. Black,54,-31.700000000000003,-26.0,5.700000000000003
BOS,J. Tatum,K. Porziņģis,164,-32.2,-23.89999999999999,8.399999999999991
WAS,K. George,B. Carrington,46,-37.7,-30.200000000000003,7.599999999999994
OKC,L. Dort,I. Joe,226,-38.2,-17.099999999999994,21.200000000000003
MIL,A. Green,K. Middleton,75,-38.7,-13.099999999999994,25.59999999999999
LAC,D. Jones Jr.,N. Batum,56,-40.900000000000006,-15.700000000000005,25.19999999999999
LAL,A. Reaves,D. Knecht,72,-42.1,-24.5,17.5
