Lineup 1,Team 1,GP 1,MIN 1,OFFRTG 1,DEFRTG 1,NETRTG 1,Lineup 2,Team 2,GP 2,MIN 2,OFFRTG 2,DEFRTG 2,NETRTG 2,Common Players,Player Removed,Player Added,OFFRTG Difference,DEFRTG Difference,NETRTG Difference,Substituted Minutes
K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,NYK,41,797,118.4,112.8,5.6,O. Anunoby - J. Hart - M. Bridges - J. Brunson - J. Sims,NYK,18,120,105.6,110.0,-4.4,"J. Hart, J. Brunson, M. Bridges, O. Anunoby",K. Towns,J. Sims,-12.800000000000011,-2.799999999999997,-10.0,677
K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,NYK,41,797,118.4,112.8,5.6,O. Anunoby - J. Hart - M. Bridges - J. Brunson - P. Achiuwa,NYK,19,100,107.1,112.2,-5.1,"J. Hart, J. Brunson, M. Bridges, O. Anunoby",K. Towns,P. Achiuwa,-11.300000000000011,-0.5999999999999943,-10.7,697
K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,NYK,41,797,118.4,112.8,5.6,K. Towns - O. Anunoby - J. Hart - J. Brunson - M. McBride,NYK,17,60,129.8,100.8,29.0,"K. Towns, J. Brunson, J. Hart, O. Anunoby",M. Bridges,M. McBride,11.400000000000006,-12.0,23.4,737
K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,NYK,41,797,118.4,112.8,5.6,K. Towns - O. Anunoby - J. Hart - M. Bridges - M. McBride,NYK,13,37,117.1,112.7,4.4,"K. Towns, J. Hart, M. Bridges, O. Anunoby",J. Brunson,M. McBride,-1.3000000000000114,-0.09999999999999432,-1.1999999999999993,760
K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,NYK,41,797,118.4,112.8,5.6,K. Towns - J. Hart - M. Bridges - J. Brunson - M. McBride,NYK,15,35,119.0,102.5,16.5,"K. Towns, J. Brunson, J. Hart, M. Bridges",O. Anunoby,M. McBride,0.5999999999999943,-10.299999999999997,10.9,762
K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,NYK,41,797,118.4,112.8,5.6,K. Towns - C. Payne - O. Anunoby - J. Hart - M. Bridges,NYK,4,34,119.4,118.3,1.1,"K. Towns, J. Hart, M. Bridges, O. Anunoby",J. Brunson,C. Payne,1.0,5.5,-4.5,763
K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,NYK,41,797,118.4,112.8,5.6,K. Towns - O. Anunoby - M. Bridges - J. Brunson - M. McBride,NYK,16,34,123.7,114.5,9.2,"K. Towns, J. Brunson, M. Bridges, O. Anunoby",J. Hart,M. McBride,5.299999999999997,1.7000000000000028,3.5999999999999996,763
K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,NYK,41,797,118.4,112.8,5.6,K. Towns - C. Payne - O. Anunoby - J. Hart - J. Brunson,NYK,8,33,135.7,110.0,25.7,"K. Towns, J. Brunson, J. Hart, O. Anunoby",M. Bridges,C. Payne,17.299999999999983,-2.799999999999997,20.1,764
M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,MIN,39,528,111.4,111.1,0.3,R. Gobert - J. Randle - D. DiVincenzo - A. Edwards - J. McDaniels,MIN,24,165,109.9,114.2,-4.3,"J. Randle, J. McDaniels, R. Gobert, A. Edwards",M. Conley,D. DiVincenzo,-1.5,3.1000000000000085,-4.6,363
M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,MIN,39,528,111.4,111.1,0.3,R. Gobert - J. Randle - N. Alexander-Walker - A. Edwards - J. McDaniels,MIN,29,115,110.2,96.7,13.5,"J. Randle, J. McDaniels, R. Gobert, A. Edwards",M. Conley,N. Alexander-Walker,-1.2000000000000028,-14.399999999999991,13.2,413
M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,MIN,39,528,111.4,111.1,0.3,M. Conley - J. Randle - N. Reid - A. Edwards - J. McDaniels,MIN,21,55,105.7,105.7,0.0,"J. Randle, J. McDaniels, M. Conley, A. Edwards",R. Gobert,N. Reid,-5.700000000000003,-5.3999999999999915,-0.3,473
M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,MIN,39,528,111.4,111.1,0.3,M. Conley - R. Gobert - N. Reid - A. Edwards - J. McDaniels,MIN,20,55,113.2,87.4,25.8,"M. Conley, J. McDaniels, R. Gobert, A. Edwards",J. Randle,N. Reid,1.7999999999999972,-23.69999999999999,25.5,473
