LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,NYK,41,797,118.4,112.8,5.6,66.6,2.37,21.1,27.4,73.0,50.9,0.1,57.2,60.4,99.22,53.8
M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,MIN,39,528,111.4,111.1,0.3,65.6,1.65,19.3,25.9,73.9,50.6,0.2,56.5,59.5,97.48,50.7
F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,HOU,28,416,110.4,103.8,6.6,57.0,1.88,16.3,31.4,75.0,52.0,0.1,49.6,53.6,99.77,51.9
D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Murray,SAC,27,414,115.0,113.4,1.6,64.0,2.49,20.0,26.4,74.7,49.9,0.1,54.4,58.3,103.45,51.2
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,IND,26,363,115.6,99.9,15.8,69.6,2.51,21.6,22.3,79.3,52.8,0.1,58.3,61.3,101.63,58.7
B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - A. Jackson Jr.,MIL,29,300,109.3,112.3,-3.1,61.6,1.71,18.7,23.2,78.1,50.6,0.1,56.6,58.3,101.59,48.7
C. Capela - T. Young - J. Johnson - D. Daniels - Z. Risacher,ATL,26,282,111.5,111.7,-0.2,71.2,2.13,21.7,31.0,74.2,52.2,0.1,55.5,57.2,106.35,50.2
I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,OKC,20,263,117.1,101.2,15.8,59.4,2.44,19.3,27.0,71.8,50.3,0.1,55.9,59.4,102.16,59.4
T. Harris - T. Hardaway Jr. - C. Cunningham - J. Ivey - J. Duren,DET,21,261,119.8,122.0,-2.1,65.3,1.90,20.6,33.2,76.2,55.0,0.2,59.8,61.7,97.66,48.4
J. Harden - N. Powell - K. Dunn - I. Zubac - D. Jones Jr.,LAC,19,257,112.5,102.4,10.1,59.4,1.72,18.5,26.6,72.0,50.2,0.1,55.8,58.5,100.38,54.8
N. Vučević - Z. LaVine - C. White - P. Williams - J. Giddey,CHI,22,250,106.7,111.8,-5.1,67.5,1.90,19.8,23.5,77.7,51.1,0.1,55.2,57.9,107.56,48.3
R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,19,246,126.3,119.9,6.5,73.9,3.16,24.5,30.1,71.3,51.9,0.1,61.3,64.0,103.44,53.3
